ship_type,shipname
Cargo,KAROLI
Cargo,KERLI
Cargo,FINNKRAFT
Cargo,FINNPULP
Cargo,MERI
Tanker,BALTICO
Tanker,SUULA
Unspecified,VTS HEL
Tug,SAR 111261105
Cargo,IDUNA
Cargo,WILSON SKY
Cargo,THURKUS
Cargo,ARETHOUSA
Cargo,TOLLUND
Tug,CRESTWAY
Cargo,SELENE PRAHM
Cargo,PHOENIX II
Cargo,VITIM
Tanker,MURRAY STAR
Cargo,MAERSKMCKINNEYMOLLER
Tanker,MARINUS
Cargo,ANGLIA SEAWAYS
Tanker,NEPTUNUS
Fishing,KAPITAN GERASHCHENKO
Tug,DC OSTEND
Cargo,KAREN C
Tug,BOA ODIN
Passenger,STENA BALTICA
Tug,EILEEN MCLOUGHLIN
Tug,MEWO NAVIGATOR
Tanker,ORAMALIA
Cargo,PHANTOM
Cargo,MULTIMAR
Cargo,LIV KRISTIN
Cargo,TRANSOSPREY
Tanker,MINERVA GEORGIA
Tanker,MINERVA ALICE
Cargo,SANDETTIE
Tanker,THUN GALAXY
Cargo,HENDRIKA MARGARETHA
Cargo,ENFORCER
Cargo,EMOTION
Cargo,TINA
Cargo,DONGEBORG
Cargo,LINGEDIJK
Cargo,THEA MARIEKE
Cargo,ALANA EVITA
Tanker,PRINS MAURITS
Passenger,SCOTTISH VIKING
Cargo,BOGDAN
Cargo,WILSON BILBAO
Tug,JAMES COOK
Tanker,LUKE
Cargo,AKACIA
Cargo,IRIS BOLTEN
Cargo,FREDERIK
Cargo,BALTIYSKIY-202
Tanker,MARY A
Tanker,SOLSTRAUM
Cargo,STAR ISFJORD
Tug,MAJA
Tug,TYTAN
Tug,OCEANIA
Tug,ARES
Tug,AGIS
Tug,ARGO
Tug,AJAKS
Tanker,HALICZ
Passenger,RUBIN
Tug,PILOT-5
Tug,TUCANA
Tanker,PORONIEC
Tug,IKAR
Fishing,WLA 108
Fishing,LEB-7
Tug,INZ. ST. LEGOWSKI
Passenger,AGAT
Fishing,HEL-111
Fishing,HEL 112
Tug,SM PRC 112
Tug,SM PRC 105
Tug,SM PRC 108
Tug,SMPRC110
Tug,TAURUS
Fishing,KAPER-2 SG-312
Tug,WIATR
Fishing,HEL-150
Fishing,HEL 23
Fishing,WLA 253
Fishing,JAS 102
Fishing,JAS-74
Fishing,JAS 78
Fishing,WLA-305
Fishing,GDA-20
Fishing,GDA-18
Fishing,JAS-64
Fishing,WLA-291
Fishing,JAS-80
Fishing,JAS 77
Fishing,JAS 31
Fishing,HEL-152
Fishing,WLA 51
Fishing,WLA-217
Fishing,WLA-197
Fishing,JAS 39
Fishing,JAS-12
Fishing,JAS 51
Tug,PILOT 20
Tug,PILOT21
Fishing,HEL-103
Fishing,HEL-102
Pleasure,LE VOYAGEUR
Fishing,JAS 76
Fishing,ZAG 31
Fishing,WLA 31
Fishing,WLA-207
Fishing,WLA-196
Fishing,WLA 60
Tug,HYDROGRAF 10
Pleasure,CHA-10
Cargo,SM-PRC-107
Tug,CENTAUR II
Fishing,WLA 80
Tug,KOL-110
